Rank,Title,Rating,Url
1,Сокол и Зимний солдат,8.0,https://www.imdb.com/title/tt9208876/
2,Ходячие мертвецы,8.2,https://www.imdb.com/title/tt1520211/
3,Вторжение титанов,8.9,https://www.imdb.com/title/tt2560140/
4,По долгу службы,8.7,https://www.imdb.com/title/tt2303687/
5,ВандаВижн,8.1,https://www.imdb.com/title/tt9140560/
6,Анатомия страсти,7.6,https://www.imdb.com/title/tt0413573/
7,Красный дерматин,6.5,https://www.imdb.com/title/tt8690776/
8,Игра престолов,9.3,https://www.imdb.com/title/tt0944947/
9,Джинни и Джорджия,7.4,https://www.imdb.com/title/tt10813940/
10,Нерегулярные части,5.4,https://www.imdb.com/title/tt10893694/
11,Единственный,6.6,https://www.imdb.com/title/tt13879466/
12,Корона,8.7,https://www.imdb.com/title/tt4786824/
13,Чёрный список,8.0,https://www.imdb.com/title/tt2741602/
14,Бортпроводница,7.1,https://www.imdb.com/title/tt7569576/
15,Супермаркет,7.8,https://www.imdb.com/title/tt4477976/
16,Могучие утята: Новые правила,7.9,https://www.imdb.com/title/tt7939768/
17,Офис,8.9,https://www.imdb.com/title/tt0386676/
18,Флэш,7.7,https://www.imdb.com/title/tt3107288/
19,Новый Амстердам,8.1,https://www.imdb.com/title/tt7817340/
20,Викинги,8.5,https://www.imdb.com/title/tt2306299/
21,Мыслить как преступник,8.1,https://www.imdb.com/title/tt0452046/
22,Засланец из космоса,8.4,https://www.imdb.com/title/tt8690918/
23,Во все тяжкие,9.5,https://www.imdb.com/title/tt0903747/
24,В её глазах,7.2,https://www.imdb.com/title/tt9698442/
25,Острые козырьки,8.8,https://www.imdb.com/title/tt2442560/
26,Бесстыжие,8.6,https://www.imdb.com/title/tt1586680/
27,Чужестранка,8.4,https://www.imdb.com/title/tt3006802/
28,Это мы,8.7,https://www.imdb.com/title/tt5555260/
29,Неуязвимый,8.9,https://www.imdb.com/title/tt6741278/
30,Противостояние,5.5,https://www.imdb.com/title/tt1831804/
31,Шиттс Крик,8.5,https://www.imdb.com/title/tt3526078/
32,Незабытый,8.3,https://www.imdb.com/title/tt4192812/
33,Супермен и Лоис,8.0,https://www.imdb.com/title/tt11192306/
34,Американская семейка,8.4,https://www.imdb.com/title/tt1442437/
35,Сквозь снег,6.9,https://www.imdb.com/title/tt6156584/
36,Они,0.0,https://www.imdb.com/title/tt9064858/
37,Мандалорец,8.8,https://www.imdb.com/title/tt8111088/
38,Закон и порядок: Специальный корпус,8.0,https://www.imdb.com/title/tt0203259/
39,Ваша честь,7.7,https://www.imdb.com/title/tt7440726/
40,Музыка в наших сердцах,6.7,https://www.imdb.com/title/tt11717394/
41,Сверхъестественное,8.4,https://www.imdb.com/title/tt0460681/
42,Американские боги,7.8,https://www.imdb.com/title/tt1898069/
43,Морская полиция: Спецотдел,7.7,https://www.imdb.com/title/tt0364845/
44,Бумажный дом,8.3,https://www.imdb.com/title/tt6468322/
45,Кто убил Сару?,6.7,https://www.imdb.com/title/tt11937816/
46,Оборона Древних: кровь дракона,8.4,https://www.imdb.com/title/tt14069590/
47,Пацаны,8.7,https://www.imdb.com/title/tt1190634/
48,Чисто английские убийства,7.7,https://www.imdb.com/title/tt0118401/
49,Клан Сопрано,9.2,https://www.imdb.com/title/tt0141842/
50,Лучше звоните Солу,8.7,https://www.imdb.com/title/tt3032476/
51,Хорошие девчонки,7.8,https://www.imdb.com/title/tt6474378/
52,Очень странные дела,8.7,https://www.imdb.com/title/tt4574334/
53,Йеллоустоун,8.6,https://www.imdb.com/title/tt4236770/
54,Друзья,8.9,https://www.imdb.com/title/tt0108778/
55,Бриджертоны,7.3,https://www.imdb.com/title/tt8740790/
